REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Personal improvement and leisure [0],Male gender,International students,156.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Personal improvement and leisure [0],Female gender,Canadian students,63.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Personal improvement and leisure [0],Female gender,International students,171.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Personal improvement and leisure [0],Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,9.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,"Agriculture, natural resources and conservation [9]",Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Other  [12],Male gender,Canadian students,531.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Other  [12],Male gender,International students,30.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Other  [12],Female gender,Canadian students,900.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Other  [12],Female gender,International students,15.0
2018/2019,British Columbia,University,Part-time student,Upper secondary education,Other  [12],Gender unknown,Canadian students,6.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Education [1],Male gender,Canadian students,27.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Education [1],Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Education [1],Female gender,Canadian students,174.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Education [1],Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,42.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,135.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,Canadian students,9.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,Canadian students,9.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,27.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,366.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,138.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,288.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,30.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,21.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,177.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,15.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,33.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,57.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,Canadian students,90.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,Canadian students,732.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,International students,24.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,"Not reported, status of student in Canada",3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,International students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,12.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,9.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,12.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Other  [12],Male gender,Canadian students,27.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Other  [12],Female gender,Canadian students,30.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Unclassified,Male gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Unclassified,Female gender,Canadian students,21.0
2018/2019,British Columbia,University,Part-time student,Post-secondary non-tertiary education,Unclassified,Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,27.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,24.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Humanities [3],Male gender,Canadian students,84.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Humanities [3],Male gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Humanities [3],Female gender,Canadian students,153.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Humanities [3],Female gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,21.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,81.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,International students,12.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Gender unknown,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,153.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,International students,69.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,276.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,International students,69.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,42.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,12.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,57.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,International students,9.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Gender unknown,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,78.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,9.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,21.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,24.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,18.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,Canadian students,27.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,Canadian students,75.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,21.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,18.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Other  [12],Male gender,Canadian students,228.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Other  [12],Male gender,International students,21.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Other  [12],Female gender,Canadian students,336.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Other  [12],Female gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Short-cycle tertiary education,Other  [12],Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Personal improvement and leisure [0],Female gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,315.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Education [1],Male gender,International students,24.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,1335.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Education [1],Female gender,International students,69.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Education [1],Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,519.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,114.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,783.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,204.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,2580.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,573.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,4071.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,699.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,9.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,2904.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,903.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,4671.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,1317.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,2775.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,750.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,2943.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,921.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,1905.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,360.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,2337.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,288.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Gender unknown,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,1653.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,675.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,507.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,330.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Gender unknown,International students,0.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,1182.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,414.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,315.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,99.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,309.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,123.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,345.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,90.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Gender unknown,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,780.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,International students,63.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,1893.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,156.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,129.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,156.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Other  [12],Male gender,Canadian students,129.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Other  [12],Male gender,International students,36.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Other  [12],Female gender,Canadian students,165.0
2018/2019,British Columbia,University,Part-time student,Bachelor's or equivalent,Other  [12],Female gender,International students,45.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Education [1],Male gender,Canadian students,378.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Education [1],Male gender,International students,33.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Education [1],Female gender,Canadian students,1167.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Education [1],Female gender,International students,117.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Education [1],Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,6.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Humanities [3],Male gender,Canadian students,33.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Humanities [3],Male gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Humanities [3],Female gender,Canadian students,66.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Humanities [3],Female gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,171.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,15.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,324.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,33.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,522.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,International students,246.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,588.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,International students,174.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,12.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,12.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,12.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,12.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,6.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,9.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,33.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,39.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,18.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,15.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,87.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,12.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,129.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,21.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Health and related fields [10],Male gender,Canadian students,84.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Health and related fields [10],Male gender,International students,9.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Health and related fields [10],Female gender,Canadian students,186.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Health and related fields [10],Female gender,International students,27.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,24.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,30.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Other  [12],Male gender,Canadian students,27.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Other  [12],Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Other  [12],Female gender,Canadian students,75.0
2018/2019,British Columbia,University,Part-time student,Master's or equivalent,Other  [12],Female gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Education [1],Male gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Education [1],Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Education [1],Female gender,Canadian students,6.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Education [1],Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Humanities [3],Male gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Humanities [3],Female gender,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,6.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,18.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,6.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,9.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,International students,6.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,12.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Male gender,Canadian students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Male gender,International students,0.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Female gender,Canadian students,6.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Female gender,International students,3.0
2018/2019,British Columbia,University,Part-time student,Doctoral or equivalent,Other  [12],Female gender,Canadian students,0.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Male gender,Canadian students,564.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Male gender,International students,123.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,Canadian students,879.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,International students,108.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Gender unknown,Canadian students,15.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Male gender,Canadian students,15.0
2018/2019,British Columbia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Female gender,Canadian students,69.0
